name,moisture,protein,fat,mineral,crude_fibre,carbohydrates,energy,calcium,phosphorus,iron,magnesium,sodium,potassium,copper,manganese,molybdenum,zinc,chromium,sulfur,chlorine,carotene,Thiamine_B1,Riboflavin_B2,Niacin_B3,Pyridoxine_B6_Total,Folic_Acid_Free ,Folic_Acid_total,Vitamin_C,choline,Approx_tot_Ng_per_100,Histidine,Lysine,Tryptophan,Phenylalanine,Methionine,Threonine,Leucine,Isoleucine,Valine,Arginine,Tyrosine,Cystine,Palmitic_acid,Stearic_acid,Arachidic,Behenic,Lignoceric,Total_SFA,Palmitoleic,Oleic,Total_MUFA,linoleic,linolenic,Total_PUFA,oxalic_acid,phytin_p,phytin_phosphorus_percentage,TDF_g,IDF_g,SDF_g
VARAGU,12.8,8.3,1.4,2.6,9,65.9,309,27,188,0.5,147,4.6,144,1.6,1.1,0,0.7,0.02,136,11,0,0.33,0.09,2,0,7.4,23.1,0,0,1.33,120,150,50,430,180,200,650,360,410,270,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,135,72,0,0,0
"WHEAT, bulgar (parboiled)",9.8,8.2,1.6,1.5,1.7,77.2,356,37,298,4.9,144,4.5,260,0.56,0,0,0,0,143,22,0,0.74,0.11,4.8,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,198,67,0,0,0
"WHEAT, whole",12.8,11.8,1.5,1.5,1.2,71.2,346,41,306,5.3,138,17.1,284,0.68,2.29,0.05,2.7,0.01,128,47,64,0.45,0.17,5.5,0.57,142,36.6,0,0,1.89,130,170,70,280,90,180,410,220,280,290,180,140,0,0,0,0,0,0,0,0,0,0,0,0,8,238,80,12.5,9.6,2.9
"WHEAT, flour (whole)",12.2,12.1,1.7,2.7,1.9,69.4,341,48,355,4.9,132,20,315,0.51,2.29,0.04,2.2,0.01,122,29,29,0.49,0.17,4.3,0,12,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHEAT, flour (refined)",13.3,11,0.9,0.6,0.3,73.9,348,23,121,2.7,54,9.3,130,0.21,0.62,0.01,0.6,0,115,47,25,0.12,0.07,2.4,0,0,0,0,0,1.76,120,110,60,2.9,90,150,400,220,240,190,130,140,0,0,0,0,0,0,0,0,0,0,0,0,0,38,81,0,0,0
"WHEAT, germ",5.2,29.2,7.4,3.5,1.4,53.3,397,40,846,6,0,0,0,0,0,0,0,0,0,0,0,1.4,0.54,2.9,0,0,0,0,0,4.67,160,380,70,230,110,260,410,240,300,460,190,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHEAT, semolina",0,10.4,0.8,0,0.2,74.8,348,16,102,1.6,0,21,83,0,0,0,0,0,0,0,0,0.12,0.03,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHEAT, vermicelli",11.7,8.7,0.4,0.7,0.2,78.3,352,22,92,2,42,7.9,138,0.29,0,0,0,0,145,46,0,0.19,0.05,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,0,0
"WHEAT, bread (brown)",39,8.8,1.4,0,1.2,49,244,18,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0.21,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHEAT, bread (white)",39,7.8,0.7,0,0.2,51.9,245,11,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
