name,moisture,protein,fat,mineral,crude_fibre,carbohydrates,energy,calcium,phosphorus,iron,magnesium,sodium,potassium,copper,manganese,molybdenum,zinc,chromium,sulfur,chlorine,carotene,Thiamine_B1,Riboflavin_B2,Niacin_B3,Pyridoxine_B6_Total,Folic_Acid_Free ,Folic_Acid_total,Vitamin_C,choline,Approx_tot_Ng_per_100,Histidine,Lysine,Tryptophan,Phenylalanine,Methionine,Threonine,Leucine,Isoleucine,Valine,Arginine,Tyrosine,Cystine,Palmitic_acid,Stearic_acid,Arachidic,Behenic,Lignoceric,Total_SFA,Palmitoleic,Oleic,Total_MUFA,linoleic,linolenic,Total_PUFA,oxalic_acid,phytin_p,phytin_phosphorus_percentage,TDF_g,IDF_g,SDF_g
CORIANDER LEAVES,86.3,3.3,0.6,2.3,1.2,6.3,44,184,71,1.42,31,58.3,256,0.14,0.5,1.12,0.32,0.01,49,43,6918,0.05,0.06,0.8,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,4.3,3,1.3
COW PEA LEAVES,89,3.4,0.7,1.6,1.2,4.1,38,290,58,20.1,0,0,0,0,0,0,0,0,0,0,6702,0.05,0.18,0.6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURRY LEAVES,63.8,6.1,1,4,6.4,18.7,108,830,57,0.93,44,0,0,0.1,0.15,0,0.2,0.01,81,198,7560,0.08,0.21,2.3,0,23.5,93.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,35,61,16.3,13.4,2.9
DRUMSTICK LEAVES,75.9,6.7,1.7,2.3,0.9,12.5,92,440,70,0.85,42,0,259,0.07,0.37,0,0.16,0.01,137,423,6780,0.06,0.05,0.8,0,0,0,220,0,1.07,140,320,100,290,110,250,460,280,350,380,0,130,0,0,0,0,0,0,0,0,0,0,0,0,101,44,63,9,6.8,2.2
FENUGREEK  LEAVES,86.1,4.4,0.9,1.5,1.1,6,49,395,51,1.93,33,76.1,31,0.1,0.23,0.4,0.36,0.01,167,165,2340,0.04,0.31,0.8,0,0,0,52,0,0.7,110,300,80,300,90,200,390,330,320,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4.7,3.2,1.5
FETID CASSIA (fresh),84.9,5,0.8,1.7,2.1,5.5,49,520,39,12.4,0,0,0,0,0,0,0,0,0,0,10152,0.08,0.19,0.8,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FETID CASSIA (dried),9.7,20.7,3.9,11.8,10.4,43.5,292,3200,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GARDEN CRESS,82.3,5.8,1,2.2,0,8.7,67,360,110,28.6,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GARDEN SORREL (sepals),91.9,0.6,0.2,0.9,1.3,5.1,25,130,20,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOGU,86.4,1.7,1.1,0.9,0,9.9,56,172,40,2.28,66,0,0,0.08,0.3,0,0.27,0.01,60,19,2898,0.07,0.39,1.1,0,0,0,20,0,0.27,90,400,40,200,70,210,440,320,240,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,3.8,2.6,1.2
IPOMOEA  STEMS,93.7,0.9,0.2,1.8,0,3.4,19,80,30,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPOMOEA LEAVES,90.3,2.9,0.4,2.1,1.2,3.1,28,110,46,3.9,0,0,0,0,0,0,0,0,0,0,1980,0.05,0.13,0.6,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNOL0KHOL GREENS,86.7,3.5,0.4,1.2,1.8,6.4,43,740,50,13.3,0,0,0,0,0,0,0,0,0,0,4146,0.25,0,3,0,0,0,157,0,0.56,0,540,370,160,50,130,500,330,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KUPPAMENI,80.5,6.7,1.4,3.1,2.3,6,64,667,99,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LETTUCE,93.4,2.1,0.3,1.2,0.5,2.5,21,50,28,2.4,30,58,33,0.08,0,0,0,0,27,23,990,0.09,0.13,0.5,0,0,0,10,178,0.34,110,310,50,280,70,270,390,320,320,300,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTUCE TREE LEAVES, mature",81.7,5.1,0.4,2.6,0,10.2,65,320,80,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTUCE TREE LEAVES, tender",90.2,3.6,0.2,2.2,0.6,3.2,29,170,60,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANATHAKKALI LEAVES,82.1,5.9,1,2.1,0,8.9,68,410,70,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAYALU,90.8,2.8,0.4,1.8,0,4.2,32,200,35,10,0,0,0,0,0,0,0,0,0,0,7440,0.03,0.16,0.5,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.6,0.9
MINT,84.9,4.8,0.6,1.9,2,5.8,48,200,62,15.6,60,0,0,0.18,0.57,0,0.44,0.01,84,34,1620,0.05,0.26,1,0,9.7,114,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,6,6.3,5,1.3
MODAKANTHAN KEERAI,83.3,4.7,0.6,2.3,0,9.1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUKARRATE KEERAI,84.5,6.1,0.9,1.3,0,7.2,61,667,99,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSTARD LEAVES,89.8,4,0.6,1.6,0.8,3.2,34,155,26,16.3,0,0,0,0,0,0,0,0,0,0,2622,0.03,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NERRINGI,79.1,7.2,0.5,4.6,0,8.6,68,1550,82,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARSLEY,74.6,5.9,1,3.2,1.8,13.5,87,390,175,17.9,0,0,0,0,0,0,0,0,0,0,1920,0.04,0.18,0.5,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0
PARUPPU KEERAI,90.5,2.4,0.6,2.3,1.3,2.9,27,111,45,14.8,120,67.2,716,0.19,0,0,0,0,63,73,2292,0.1,0.22,0.7,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679,4,9,3.9,2.9,1
PONNANGANNI,77.4,5,0.7,2.5,2.8,11.6,73,510,60,1.63,46,0,0,0.19,0.46,0,0,0,13,0,1926,0,0.14,1.2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,6.9,1
PUMPKIN LEAVES,81.9,4.6,0.8,2.7,2.1,7.9,57,392,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,100,340,80,340,110,310,630,310,360,430,310,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADISH LEAVES,90.8,3.8,0.4,1.6,1,2.4,28,265,59,0.09,22,0,0,0.02,0.01,0,0.08,0,0,0,5295,0.18,0.47,0.8,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADISH LEAVES table,89.1,3.9,0.6,1.6,0.6,4.2,38,310,60,18,0,0,0,0,0,0,0,0,0,0,5742,0.18,0.35,5.5,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPE stem,91.4,3.1,0.1,1.4,0,4,29,100,100,1.2,0,0,0,0,0,0,0,0,0,0,1380,0.01,0.03,0.9,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPE LEAVES,84.9,5.1,0.4,2.5,1.2,5.9,48,370,110,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPE LEAVES (dried),7.4,27,2.9,15.3,6.7,40.7,297,3095,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAFFLOWER  LEAVES,91.1,2.5,0.6,1.3,0,4.5,33,185,35,5.7,51,126.4,181,0.22,0,0,0,0,0,235,3540,0.04,0.1,0,0,0,0,15,0,0.4,0,610,30,160,60,170,700,540,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
SHEPU,88,3,0.5,2.2,1.1,5.2,37,190,42,17.4,0,0,0,0,0,0,0,0,0,0,7182,0.03,0.13,0.2,0,0,0,0,25,0.48,0,450,30,90,20,120,290,350,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPINACH,92,2,0.7,1.7,0.6,2.9,26,73,21,1.14,64,58.5,206,0.1,0.56,0.01,0.3,0.01,30,54,5580,0.03,0.26,0.5,0,51,123,28,0,0.32,140,400,100,330,110,290,530,300,350,350,310,80,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0,2.5,1.8,0.7
SPINACH stalks,93.4,0.9,0.1,1.8,0,3.8,20,90,20,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SUSNI SAG,86.9,3.7,1.4,2.1,1.3,4.6,46,53,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMARIND LEAVES, tender",70.5,5.8,2.1,1.5,1.9,18.2,115,101,140,0.3,26,0,0,0.02,0.12,0,0.26,0.01,63,94,250,0.24,0.17,4.1,0,0,0,3,0,0.92,140,300,0,390,80,290,580,330,360,370,220,60,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,10.6,9.4,1.2
TURNIP GREENS,81,4,1.5,2.2,1,9.4,67,710,60,28.4,0,0,0,0,0,0,0,0,0,0,9396,0.31,0.57,5.4,0,0,0,180,0,0.64,120,320,80,260,80,240,410,240,280,300,220,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROW ROOT FLOUR,16.5,0.2,0.1,0.1,0,83.1,334,10,20,1,0,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANANA RHIZOME,85.1,0.4,0.2,1.4,1.1,11.8,51,25,10,1.1,0,0,0,0,0,0,0,0,0,0,16,0,0.03,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEET ROOT,87.7,1.7,0.1,0.8,0.9,8.8,43,18.3,55,1.19,9,59.8,43,0.29,0.19,0,0.91,0.01,14,24,0,0.04,0.09,0.4,0,0,0,10,242,0.27,100,410,60,210,70,250,330,200,230,320,170,120,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3.5,2.6,0.9
CARROT,86,0.9,0.2,1.1,1.2,10.6,48,80,530,1.03,17,35.6,108,0.1,0.16,0,0.36,0.02,27,13,1890,0.04,0.02,0.6,0,5,15,3,168,0.14,90,230,40,210,70,210,310,230,310,250,140,60,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4.4,3,1.4
COLOCASIA,73.1,3,0.1,1.7,1,21.1,97,40,140,0.42,28,9,550,0.18,0.28,0,0.31,0.01,0,0,24,0.09,0.03,0.4,0,16,54,0,0,0.48,110,300,110,320,80,280,510,270,380,470,230,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHAMALU,79.6,1.3,0.1,0.8,0.1,18.1,79,16,31,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANGO GINGER,85,1.1,0.7,1.4,1.3,10.5,53,25,90,2.6,0,0,0,0,0,0,0,0,0,0,20,0.01,0.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONION big,86.6,1.2,0.1,0.4,0.6,11.1,50,46.9,50,0.6,16,4,127,0.18,0.18,0.03,0.41,0.01,0,0,0,0.08,0.01,0.4,0,1.5,6,11,0,0.19,70,290,90,180,70,90,170,90,140,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ONION small,84.3,1.8,0.1,0.6,0.6,12.6,59,40,60,1.2,0,0,0,0,0,0,0,0,0,0,15,0.08,0.02,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PARSNIP,72.4,1.3,0.3,1.1,1.7,23.2,101,50,40,0.5,0,0,0,0,0,0,0,0,0,0,18,0.06,0,0.4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,10,0,0,0
POTATO,74.7,1.6,0.1,0.6,0.4,22.6,97,10,40,0.48,30,11,247,0.16,0.13,0.07,0.53,0.01,37,16,24,0.1,0.01,1.2,0,3,7,17,100,0.26,100,320,100,270,90,220,380,270,310,330,170,50,0,0,0,0,0,0,0,0,0,0,0,0,20,14,35,1.7,1.1,0.6
RADISH pink,90.8,0.6,0.3,0.9,0.6,6.8,32,50,20,0.37,196,63.5,10,0.07,0.15,0,0.68,0.01,0,0,3,0.06,0.02,0.4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,65,0,0,0
RADISH rat-tailed,92.3,1.3,0.3,0.7,1.1,4.3,25,78,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADISH table,94.9,0.5,0.1,0.7,0.6,3.2,16,20,20,1,0,0,0,0,0,0,0,0,0,0,4,0.02,0.03,1.4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADISH white,94.4,0.7,0.1,0.6,0.8,3.4,17,35,22,4,0,33,138,0.4,0,0,0,0,0,0,3,0.06,0.02,0.5,0,0,0,15,63,0.11,160,270,20,270,50,230,420,300,390,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2.3,1.8,0.5
SWEET POTATO,68.5,1.2,0.3,1,0.8,28.2,120,46,50,0.21,27,9,393,0.02,0.22,0,0.11,0.01,0,0,6,0.08,0.04,0.7,0,0,0,24,0,0.19,90,260,110,270,100,280,360,290,380,280,150,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,2.6,1.3
TAPIOCA,59.4,0.7,0.2,1,0.6,38.1,157,50,40,0.9,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.3,0,0,0,25,0,0.12,110,290,80,180,50,200,300,250,240,580,100,90,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
TAPIOCA chips dried,12,1.3,0.3,2,1.8,82.6,338,91,70,3.6,66,7.5,764,0.15,0,0,0,0,58,10,0,0.23,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,24,0,0,0
TURNIP,91.6,0.5,0.2,0.6,0.9,6.2,29,30,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.5,0,0,0,43,137,0.08,70,230,80,180,50,210,340,220,230,250,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAM, elephant",78.7,1.2,0.1,0.8,0.8,18.4,79,50,34,0.6,0,0,0,0,0,0,0,0,0,0,260,0.06,0.07,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4.2,3.2,1
"YAM, ordinary",69.9,1.4,0.1,1.6,1,26,111,35,20,1.19,17,9,237,0.12,0.12,0,0.45,0.02,0,0,78,0.07,0,0.7,0,0.9,17.5,0,0,0.22,120,280,70,300,100,220,400,230,290,480,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3,0.7
"YAM, wild",70.4,2.5,0.3,1.4,1,24.4,110,20,74,1,34,11,450,0.16,0,0,0,0,35,29,565,0.19,0.47,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,9,0,0,0
ASH GOURD,96.5,0.4,0.1,0.3,0.8,1.9,10,30,20,0.8,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0.4,0,0,0,1,0,0.06,40,70,30,160,60,190,380,350,310,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEANS, scarlet runner",58.3,7.4,1,1.6,1.9,29.8,158,50,160,2.6,0,0,0,0,0,0,0,0,0,0,34,0.34,0.19,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BITTER GOURD,92.4,1.6,0.2,0.8,0.8,4.2,25,20,70,0.61,36,17.8,152,0.1,0.08,0,0.46,0.01,15,8,126,0.07,0.09,0.5,0,0,0,88,0,0.26,80,210,40,240,150,250,420,370,370,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4.3,3.2,1.1
BITTER GOURD small,83.2,2.1,1,1.4,1.7,10.6,60,23,38,2,33,2.4,171,0.09,0.08,0,0.39,0.01,21,8,126,0.07,0.06,0.4,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0
BOTTLE GOURD,96.1,0.2,0.1,0.5,0.6,2.5,12,20,10,0.46,26,1.8,87,0.03,0.06,0,0.22,0.05,10,5,0,0.03,0.01,0.2,0,0,0,0,0,0.03,40,350,30,140,30,170,350,320,230,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,0.3
BRINJAL,92.7,1.4,0.3,0.3,1.3,4,24,18,47,0.38,15,3,200,0.12,0.13,0,0.22,0.01,44,52,74,0.04,0.11,0.9,0,5,34,12,52,0.22,130,330,60,250,70,230,380,270,320,210,240,30,0,0,0,0,0,0,0,0,0,0,0,0,18,3,6,6.3,4.6,1.7
BROAD BEANS,85.4,4.5,0.1,0.8,2,7.2,48,50,64,1.4,33,43.5,39,0.17,0,0,0,0,53,43,9,0.08,0,0.8,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.9,6.7,2.1
CAULIFLOWER,90.8,2.6,0.4,1,1.2,4,30,33,57,1.23,18,53,138,0.13,0.1,0,0.4,0,231,34,30,0.04,0.1,1,0,0,0,56,127,0.42,120,360,90,230,100,260,440,300,350,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,18,3.7,2.6,1.1
CHO-CHO-MARROW,92.5,0.7,0.1,0.4,0.6,5.7,27,140,30,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.9,0.4
CLUSTER BEANS,81,3.2,0.4,1.4,3.2,10.8,16,130,57,1.08,47,0,0,0.08,0.1,0,0.36,0,0,0,198,0.09,0.03,0.6,0,50,144,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5.7,4.2,1.5
COLOCASSIA STEM,94,0.3,0.3,1.2,0.6,3.6,18,60,20,0.5,0,0,0,0,0,0,0,0,0,0,104,0.07,0.07,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COWPEA PODS,85.3,3.5,0.2,0.9,2,8.1,48,72,59,2.5,0,0,0,0,0,0,0,0,0,0,564,0.07,0.09,0.9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUCUMBER,96.3,0.4,0.1,0.3,0.4,2.5,13,10,25,0.6,14,10.2,50,0.09,0.14,0.07,0.23,0,17,15,0,0.03,0,0.2,0,12.6,14.7,7,0,0.06,90,270,50,140,60,160,260,190,210,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2.6,2,0.6
DOUBLE BEANS,73.8,8.3,0.3,1,4.3,12.3,85,40,140,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0
DRUMSTICK,86.9,2.5,0.1,2,4.8,3.7,26,30,110,0.18,28,0,259,0.01,0.05,0,0.16,0,137,423,110,0.05,0.07,0.2,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,44,40,5.8,4.8,1
DRUMSTICK FLOWERS,85.9,3.6,0.8,1.3,1.3,7.1,50,51,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEIDBEANS TENDER,86.1,3.8,0.7,0.9,1.8,6.7,48,210,68,0.83,17,55.4,74,0.1,0.12,0,0.4,0,40,31,187,0.1,0.06,0.7,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FIGS, red(Ficuscunia)",79.4,1.2,0.6,1.6,6.4,10.8,53,187,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCHBEANS,91.4,1.7,0.1,0.5,1.8,4.5,26,50,28,0.61,38,4.3,120,0.06,0.12,0.2,0.42,0.01,37,10,132,0.08,0.06,0.3,0,15.5,45.5,24,0,0.27,150,360,90,260,80,250,430,280,340,280,210,60,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
GHOSALA,93.2,1.2,0.2,0.5,2,2.9,18,36,19,1.1,0,0,0,0,0,0,0,0,0,0,120,0.02,0.06,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIANT CHILLIES(capsicum),92.4,1.3,0.3,0.7,1,4.3,24,10,30,0.57,12,0,0,0.12,0.06,0,0.13,0.01,0,0,427,0.55,0.05,0.1,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2,0.2
"JACKFRUIT,tender",84,2.6,0.3,0.9,2.8,9.4,51,30,40,1.7,0,35,328,0,0,0,0,0,0,0,0,0.05,0.04,0.2,0,0,0,14,0,0.42,60,300,80,480,90,360,500,450,550,120,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JACKFRUIT,seeds",64.5,6.6,0.4,1.2,1.5,25.8,133,50,97,1.5,54,63.2,246,0.19,0,0,0,0,356,14,0,0,0,0,0,0,0,0,52,1.06,0,360,70,260,50,270,330,300,410,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,4,40,42,0,0,0
KANKODA,84.1,3.1,1,1.1,3,7.7,52,33,42,4.6,0,0,0,0,0,0,0,0,0,0,1620,0.05,0.18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARONDAfresh,91,1.1,2.9,0.6,1.5,2.9,42,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARONDAdry,18.2,2.3,9.6,2.8,0,67.1,364,160,60,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHEKSA,90.4,0.6,0.1,0.9,1.6,6.4,29,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
